Results,GBP/USD Close,GBP/USD High,GBP/USD Low
Average,  1.612,  1.617,  1.608
Minimum,   1.471,   1.485,   1.463
Maximum,   1.717,   1.719,   1.714
Std,   0.072,   0.070,   0.073
# In Calc, 258, 258, 258

Date,GBP/USD Close,GBP/USD High,GBP/USD Low
2015-01-21,1.5135,1.5179,1.5077
2015-01-22,1.4989,1.5212,1.4984
2015-01-23,1.4991,1.5036,1.4951
2015-01-26,1.5079,1.51,1.4985
2015-01-27,1.5196,1.5224,1.506
2015-01-28,1.5152,1.5219,1.5136
2015-01-29,1.5066,1.5163,1.5019
2015-01-30,1.5059,1.5096,1.4989
2015-02-02,1.5031,1.51,1.5006
2015-02-03,1.5163,1.5198,1.4988
2015-02-04,1.5205,1.5251,1.514
2015-02-05,1.5334,1.5344,1.5167
2015-02-06,1.5234,1.5352,1.5212
2015-02-09,1.5213,1.5267,1.5201
2015-02-10,1.5253,1.5276,1.5197
2015-02-11,1.5241,1.53,1.5219
2015-02-12,1.5403,1.5415,1.5209
2015-02-13,1.5401,1.5422,1.5371
2015-02-16,1.5386,1.54407,1.53661
2015-02-17,1.53608,1.54026,1.53165
2015-02-18,1.54451,1.54799,1.53419
2015-02-19,1.54085,1.54653,1.54045
2015-02-20,1.53922,1.54342,1.53437
2015-02-23,1.54585,1.54749,1.53327
2015-02-24,1.54604,1.54741,1.54024
2015-02-25,1.55268,1.55384,1.5447
2015-02-26,1.54017,1.55522,1.53944
2015-02-27,1.54326,1.54588,1.53844
2015-03-02,1.5364,1.5432,1.5352
2015-03-03,1.53655,1.5398,1.53446
2015-03-04,1.52614,1.53721,1.52521
2015-03-05,1.52331,1.52696,1.52155
2015-03-06,1.5048,1.5256,1.50321
2015-03-09,1.51332,1.51373,1.50331
2015-03-10,1.50619,1.51293,1.50292
2015-03-11,1.49318,1.50965,1.48938
2015-03-12,1.4869,1.5027,1.48503
2015-03-13,1.47405,1.48971,1.46998
2015-03-16,1.4831,1.4853,1.4734
2015-03-17,1.47413,1.48453,1.47242
2015-03-18,1.50016,1.51644,1.46347
2015-03-19,1.4708,1.501,1.4689
2015-03-20,1.49405,1.49894,1.47226
2015-03-23,1.49567,1.49898,1.48391
2015-03-24,1.48499,1.4984,1.48431
2015-03-25,1.48679,1.49543,1.48312
2015-03-26,1.48584,1.49945,1.48072
2015-03-27,1.48735,1.4922,1.4797
2015-03-30,1.47958,1.49011,1.47534
2015-03-31,1.48421,1.48715,1.47556
